   Entre nous mean __________?  Between ourselves 
   faux pas mean ___________?  Mistake 
   An adjective meaning 'pertaining to the sun'?  Solar 
   From what Irish words is 'Dublin' derived?  Dubh linn 
   From what language is the term 'finito'?  Italian 
   From which language does the term 'Mayday' come?  French 
   How do you say I Love You in German?  Ich liebe Dich 
   Many Meanings:  Fuel, vapor, flattulence, helium  What is it?  Gas 
   Many Meanings: Fuel, vapor, flattulence, helium What is it?  Gas 
   Mardi Gras is French for ___________?  Fat tuesday 
   Merging the words 'melt' and 'weld' created which word?  Meld 
   Multiple Meanings:  Drinking utensils or sight-enhancers?  Glasses 
   Multiple Meanings:  Slamming your hands together quickly, or a venereal disease?  Clap 
   Name the soda that is often confused with a drug?  Coke 
   Other than Germany, whose official language is German?  Austria 
   Subject, verb and object are parts of a _________?  Sentence 
   The name Australia is derived from the Latin word australis which mean _______?  Southern 
   The name for this semi_precious stone comes from the Latin for sea water?  Aquamarine 
   The name for this semi-precious stone comes from the Latin for sea water?  Aquamarine 
   The Scots call it 'shinty' - what do Canadians and Americans call it?  Hockey 
   The word rodent comes from the italian 'rodere', which mean?  Gnaw 
   This animal is found at the beginning of an (English) encyclopedia?  Aardvark 
   What city's name is derived from the words 'dubh linn'?  Dublin 
   What do the initials 'VCR' stand for?  Video Cassette Recorder 
   What does 'A&W' (of root beer fame) stand for ?  Allen & Wright 
   What does 'alma mater' mean in English?  Bountiful mother 
   What does 'AOL' stand for?  America Online 
   What does 'majuba' mean?  Place of rock pigeons 
   What does 'shogun' mean in English?  Military governor 
   What does c'est la vie mean?  That's life 
   What does c'est la vie mean?  That's life 
   What does NASA stand for?  National Aeronautics and Space Administration 
   What does SOS stand for?  Save Our Souls 
   What does SOS stand for?  Save Our Souls 
   What does the abbreviation N/A mean?  Not applicable 
   What does the acronym 'scuba' mean?  Self Contained Underwater Breathing Apparatus 
   What does the Greek root word 'chrom' mean?  Color 
   What does the Irish 'dubh linn' mean?  Black pool 
   What does the word 'karate' translate to in English?  Open hand 
   What is 'blackpool' in Irish?  Dubh linn 
   What is 'bountiful mother' in Latin?  Alma mater 
   What is 'military governor' in Japanese?  Shogun 
   What is the English word for 'fiesta'?  Festival 
   What is the first letter in the Greek alphabet?  Alpha 
   What is the Israeli 'knesset'?  Parliament 
   What is the language of Hungary?  Magyar 
   What is the last letter in the Greek alphabet?  Omega 
   What is the literal meaning of 'pince-nez'?  Pinch nose 
   What is the meaning of the Mercedes Benz motto 'Das beste oder nichts'?  The best or nothing 
   What is the official language of Austria?  German 
   What is the official language of Senegal?  French 
   What is the Old English word for 'sneeze'?  Fneasan 
   What is the only English word formed by the first three letters of the alphabet?  Cab 
   What is the only English word formed by the first three letters of the alphabet?  Cab 
   What is the Spanish word for 'festival'?  Fiesta 
   What ONE word fits ____hood; ____hole; ____date?  Man 
   What ONE word fits ____stream; ____hill; _____pour?  Down 
   What ONE word fits? ____hood; ____hole; ____date?  Man 
   What ONE word fits? ____stream; ____hill; _____pour?  Down 
   What three letter word mean the same as to ingest?  Eat 
   What three letter word mean the same as to ingest?  Eat 
   What two words make the word 'meld'?  Melt and weld 
   What was the language of ancient India?  Sanskrit 
   What word contains the combination of letters: xop?  SaXOPhone 
   What word contains the combination of letters: xop?  Saxophone 
   Which is the only english word that contains all the vowels in alphabetical order?  Facetious 
   Which two fruits are an anagram of each other?  Lemon and melon 
   Which word mean profound boredom in both french and english?  Ennui"], "source":""}
